sv_num,otu_ID,class,order,family,genus,taxon,accession
sv_638,ead7dc400de32ddc5dbf6a90e9830695,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus acnaGlo2, VTX00155
sv_639,68096f7004dab19bfcc14198fa0158d4,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Whitfield type 17, VTX00195
sv_640,7a792f06476bced479e24316397b9508,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus Glo58, VTX00225
sv_641,565a7d86acc0d4763a7dba4406357fcd,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_642,003eda4819f5a1e68c53549d9a68e204,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_643,f45923c2ccfd89ba01125a298212b0dc,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_644,ee7304039ce88b17fcbcb084bf6df3d1,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_645,51c03f8eb40da2552674270a6d82210e,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_646,021b5dd75f3accbeed1f8ee94ab1e8d7,Glomeromycetes, Diversisporales, Diversisporaceae, Diversispora,NA,NA
sv_647,618de643868c4ce037eb4110d41ccba3,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_648,61489b4e1610956a11eef09da4d4e85a,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus ORVIN GLO3D, VTX00310
sv_649,8b1fdfe47b400214fb6082cf09e0cafb,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G22, VTX00125
sv_650,295a7203a76e9b921727d55b73525586,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_651,3c7f57f8f8128697bacd2604847d8778,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_652,d3d9945d3151574f3849f4533d30a6e7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU4, VTX00086
sv_653,42140f9c49c511702ebe658b5be8e3df,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G16, VTX00072
sv_654,f23bb3a89dbacd7e77e9bf530369be64,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Douhan3, VTX00212
sv_655,ec08a7a5481b8fd28f14fe9da2b7083f,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_656,e8767b126142419363b3da1188cac51c,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Glo8, VTX00175
sv_657,9a9fdd49279ba1663fefdcaeb2f553c6,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G14, VTX00083
sv_658,166a6e2677e7420556c15d53435c6a3a,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp.,NA
sv_659,ab03a5ea31d48310f43923b7e198bdaf,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_660,a1ad0e2ca94dacd1f5c30bbee58051f6,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus viscosum, VTX00063
sv_661,2c0e34d9454aeedfd075d8d2b5c8e693,Paraglomeromycetes, Paraglomerales, Paraglomeraceae, Paraglomus,NA,NA
sv_662,b79e3e41be1e262c91877e18eca3671a,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus ORVIN GLO4, VTX00278
sv_663,ed5d5e3edb9e383165274f6054359d63,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Yamato2005 D, VTX00084
sv_664,cdebe1e5cb0dbb436ea337e4a8eca828,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G22, VTX00125
sv_665,b08c934a3c222b1bca1f4f4d1af02ee9,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G18, VTX00064
sv_666,94f123032a9fbf211c95bc9f5a263d72,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus Douhan9, VTX00056
