#OTU ID	taxonomy	Confidence
423234039ff42939df6e79f2976465f7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__unidentified	0.992670244
a525e6e3c03b12b0407c34abf3fede3c	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Subulicystidium	0.999999934
f2d900b3b0f63e0f735dfe40a15f95f4	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.99918617
b6e88c910e10aa6e96e9a29bcba04068	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Achroiostachys;s__Achroiostachys_betulicola	0.988721323
3d957b9c07f3113b23f6a6232f4d8119	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Myrothecium;s__Myrothecium_verrucaria	0.999376368
9014425fdcb8b0929047ac403ab9d9f8	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.999999983
1f2cfd1a6b6eeb5a3342112a52d2c58a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria	0.99999627
6bf2d348a9405d2c6d3e146236ac738b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.997460857
6486840ac90e16dc0a451caec5a4083d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Cylindrocarpon;s__unidentified	0.999997866
52bb88f7208e226b17959a83ccdcf7a6	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae	0.988291974
02f56a79779ec14951461bd0fe9c7d6c	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.958107617
9073c4580cb677fee1ca7ae92a5d168d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Striaticonidium;s__Striaticonidium_cinctum	0.986800376
fb10812208dcf5ed351f85c6806b46e1	k__Fungi	0.984563847
dc7cb7d0f662c4894e06ef9ae5bc7cfd	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.99774349
93298688ab7f6d0372ec8e9197c63d2b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.974277636
2f1abd4e78c4d6c4d3d939b7c34599f1	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria;s__unidentified	0.999978376
